"","sample_name","date_and_time","Q_m3s","Al_mgL","Ca_mgL","Fe_mgL","K_mgL","Mg_mgL","Mn_mgL","Na_mgL","SO42_mgL","pH","EC","newdate","year","doy","min","hour","time","Al_mmolL","Ca_mmolL","Fe_mmolL","K_mmolL","Mg_mmolL","Mn_mmolL","Na_mmolL","SO42_mmolL"
"25","OUT 1","10/8/17 18:00",0.005837,2.983,225.9,7.391,8.182,98.35,26.96,8.291,1043.5819,2.92,1899,2017-10-08 18:00:00,2017,281,0,18,18,0.110555184938107,5.63622754491018,0.132348464499955,0.209263664032328,4.04649249125694,0.490735010375332,0.360635058721183,10.8638548823652
"26","OUT 2","10/8/17 19:30",0.005444,2.953,227.7,9.694,7.654,102,28.18,8.722,1034.8585,2.87,1914,2017-10-08 19:30:00,2017,281,30,19,19.5,0.109443332592098,5.6811377245509,0.173587608559406,0.195759482339702,4.19666735239663,0.512941861735047,0.37938234014789,10.7730428898605
"27","OUT 3","10/8/17 21:00",0.005337,2.911,223.7,8.659,7.661,98.33,27.17,8.615,1018.8543,2.88,1851,2017-10-08 21:00:00,2017,281,0,21,21,0.107886739307687,5.5813373253493,0.155054167785836,0.195938515051536,4.04566961530549,0.494557501183152,0.374728142670726,10.6064366021237
"28","OUT 4","10/8/17 22:30",0.005472,2.739,206.4,7.985,7.749,92.75,26.32,8.665,863.0456,2.98,1666,2017-10-08 22:30:00,2017,281,30,22,22.5,0.101512119190571,5.1497005988024,0.142985047900439,0.198189212000307,3.81608722485085,0.479085514580072,0.376903001304915,8.98444305642307
"29","OUT 5","10/9/17 0:00",0.009816,2.341,171.4,4.163,8.382,74.28,21.46,7.768,577.6868,3.22,1181,2017-10-09 00:00:00,2017,282,0,0,0,0.0867615447335261,4.27644710578842,0.0745456173336915,0.214378884370444,3.05616128368648,0.390622155884816,0.337886037407569,6.01381220070789
"30","OUT 6","10/9/17 1:30",0.008178,1.849,125.6,1.768,7.872,54.72,15.42,5.638,623.8979,3.2,1231,2017-10-09 01:30:00,2017,282,30,1,1.5,0.0685271662589875,3.13373253493014,0.0316590563165906,0.201335072508248,2.25138860316807,0.280680039317048,0.245237059591127,6.49487716010827
"31","OUT 7","10/9/17 3:00",0.009175,2.097,144.6,3.737,8.858,62.53,16.83,6.253,715.7849,3.23,1344,2017-10-09 03:00:00,2017,282,0,3,3,0.0777184789859907,3.60778443113772,0.0669173605515266,0.226553108775161,2.57272166220942,0.306345334740981,0.271987820791649,7.45143556110764
"32","OUT 8","10/9/17 4:30",0.011134,1.817,163.4,2.488,8.931,70.95,16.11,6.774,715.2925,3.37,1331,2017-10-09 04:30:00,2017,282,30,4,4.5,0.0673411904232451,4.07684630738523,0.044551884680813,0.228420164198573,2.91915243777001,0.293239651971313,0.294649847759896,7.44630959816781
"33","OUT 9","10/9/17 6:00",0.010932,1.632,178,1.706,8.861,75.54,14.93,6.698,823.7494,3.42,1460,2017-10-09 06:00:00,2017,282,0,6,6,0.0604847676228597,4.44111776447106,0.0305488405407825,0.226629837080232,3.10800246862785,0.271760894098802,0.291344062635929,8.57536331459504
"34","OUT 10","10/9/17 7:30",0.010558,1.606,207.4,1.691,8.859,85.36,15.65,7.395,879.223,3.4,1536,2017-10-09 07:30:00,2017,282,30,7,7.5,0.059521162256319,5.17465069860279,0.0302802399498612,0.226578684876851,3.51203456078996,0.28486657686847,0.32166159199652,9.15285238392671
"35","OUT 11","10/9/17 9:00",0.010018,1.695,212.4,2.173,8.582,90.3,16.39,7.528,876.8849,3.34,1559,2017-10-09 09:00:00,2017,282,0,9,9,0.0628196575494774,5.29940119760479,0.0389112722714657,0.21949410470856,3.71528492079819,0.298336306381739,0.327446715963462,9.12851238809078
"36","OUT 12","10/9/17 10:30",0.009222,1.884,213.5,2.743,8.549,90.45,16.96,7.469,902.679,3.29,1576,2017-10-09 10:30:00,2017,282,30,10,10.5,0.0698243273293307,5.32684630738523,0.0491180947264751,0.218650093352771,3.72145649043407,0.308711638574393,0.32488038277512,9.39703310430981
